"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2015-01-01","2015","01","01","","0.4","","-10.4","","-5.0","","23.0","","0.0","","","M","","M","7.1","","","","15","","43",""
"-122.51","53.03","QUESNEL","1096629","2015-01-02","2015","01","02","","0.4","","-9.7","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","15","","41",""
"-122.51","53.03","QUESNEL","1096629","2015-01-03","2015","01","03","","-9.7","","-16.5","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","33","","41",""
"-122.51","53.03","QUESNEL","1096629","2015-01-04","2015","01","04","","-14.3","","-19.5","","-16.9","","34.9","","0.0","","","M","","M","3.8","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-05","2015","01","05","","-12.6","","-15.8","","-14.2","","32.2","","0.0","","","M","","M","7.8","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-06","2015","01","06","","-7.6","","-12.7","","-10.2","","28.2","","0.0","","","M","","M","11.8","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-07","2015","01","07","","-4.9","","-9.1","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-08","2015","01","08","","-4.3","","-9.1","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","33","","33",""
"-122.51","53.03","QUESNEL","1096629","2015-01-09","2015","01","09","","-6.1","","-8.2","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-10","2015","01","10","","-4.2","","-7.0","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-11","2015","01","11","","-1.8","","-5.0","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-12","2015","01","12","","-1.5","","-3.2","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-13","2015","01","13","","-0.6","","-2.7","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","16","","37",""
"-122.51","53.03","QUESNEL","1096629","2015-01-14","2015","01","14","","0.1","","-4.8","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","16","","43",""
"-122.51","53.03","QUESNEL","1096629","2015-01-15","2015","01","15","","1.5","","-4.2","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","15","","39",""
"-122.51","53.03","QUESNEL","1096629","2015-01-16","2015","01","16","","1.7","","-7.4","","-2.9","","20.9","","0.0","","","M","","M","6.3","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-17","2015","01","17","","2.9","","-8.5","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-18","2015","01","18","","","M","","M","","M","","M","","M","","M","","M","5.3","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-19","2015","01","19","","0.9","","-4.1","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-20","2015","01","20","","","M","-3.9","E","","M","","M","","M","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2015-01-21","2015","01","21","","3.2","","-4.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","14","","37",""
