lagtime	RRD_p|gw1.39-1.54	RRD_p|gw1.54-1.64	RRD_p|gw1.64-1.77	RRD_p|gw1.77-3.61	se_p|gw1.39-1.54	se_p|gw1.54-1.64	se_p|gw1.64-1.77	se_p|gw1.77-3.61
0.333333333333333	-1.18785897685791e-06	-9.91226260352196e-07	7.73332706076532e-06	2.96810691686728e-05	8.87315406175558e-06	1.16452702286959e-05	8.02935019274778e-06	5.05570365862495e-06
1	-3.98956793379055e-07	-2.34233761839262e-06	1.31452382060035e-05	4.58709229090249e-05	1.10618731702048e-05	1.36270338183419e-05	9.08883683798257e-06	5.6237617631842e-06
2	1.7429584341133e-06	-9.01437450338708e-06	2.47905913177047e-05	6.19444997064445e-05	1.87063835092217e-05	2.18377653689016e-05	1.44923918923989e-05	9.39115564320154e-06
3	4.18655112935631e-06	-1.75432667664747e-05	3.72035537947029e-05	5.74378142821536e-05	2.62113601342681e-05	2.96264445365128e-05	1.96123537265089e-05	1.3100315204785e-05
4	7.601952784654e-06	-2.03756850788387e-05	4.29201994796372e-05	5.37526913215273e-05	3.27871608801784e-05	3.67384208014392e-05	2.40337435118111e-05	1.63540737262107e-05
5	9.2023877493577e-06	-2.19991682908188e-05	5.04817009648751e-05	6.31404947888519e-05	3.81708597219355e-05	4.28568988044968e-05	2.75693559425059e-05	1.87317568884345e-05
6	9.10746653158177e-06	-2.12631815685869e-05	6.43720623029569e-05	6.90023474775392e-05	4.22588925871329e-05	4.77440389438572e-05	3.04433796166349e-05	2.02003127593428e-05
7	7.87636347422789e-06	-2.02998835982649e-05	8.01567111803807e-05	8.12144687151399e-05	4.50961788779704e-05	5.13112744125608e-05	3.27239010391324e-05	2.14177521051944e-05
8	7.4975582445137e-06	-2.00990139378846e-05	9.67277044998978e-05	9.31177803501367e-05	4.68233512159304e-05	5.33893137901109e-05	3.47059855347016e-05	2.26921871741956e-05
9	7.09286418609143e-06	-1.79682582227777e-05	0.000101734433678965	0.000103510822363221	4.75856120857431e-05	5.44222201325254e-05	3.63973932551506e-05	2.40194669469262e-05
10	4.75572119369811e-06	-1.28986342855406e-05	9.57808574056352e-05	0.000102874058548115	4.76878624358512e-05	5.48953355150906e-05	3.8159852142003e-05	2.51050465958482e-05
11	-9.50366153870559e-07	-8.31246540391791e-06	8.09516738402976e-05	8.62814943300159e-05	4.74342958803895e-05	5.50151582013983e-05	3.994199687286e-05	2.5980122379881e-05
12	-6.9643021281156e-06	-5.36710959949012e-06	6.03972402790915e-05	6.44275212048417e-05	4.69653165938803e-05	5.48657394060067e-05	4.18502992183896e-05	2.66723523503386e-05
13	-1.13167011760455e-05	4.22527889142389e-06	4.01982673159254e-05	5.20491252885927e-05	4.62241980400591e-05	5.41363700675671e-05	4.41205341258154e-05	2.725984219386e-05
14	-1.25056851127077e-05	1.25363834329148e-05	2.50211184085257e-05	4.48061329620715e-05	4.5334308687639e-05	5.27444658918631e-05	4.58701311089587e-05	2.77647775156682e-05
15	-1.04890160725841e-05	1.95782638127178e-05	2.61777001585623e-05	3.57806663403237e-05	4.45072555120008e-05	5.07710783052472e-05	4.67649897048072e-05	2.81289820896333e-05
16	-9.24166754050592e-06	1.86467452895264e-05	1.74576221417368e-05	2.38496459081046e-05	4.38537131590862e-05	4.84055068955727e-05	4.68608875743706e-05	2.84964655060007e-05
17	-9.50410295170623e-06	1.26188101956192e-05	7.0954643627751e-06	3.75816114776138e-06	4.31093908029473e-05	4.58665145965501e-05	4.65421326512183e-05	2.87647496725002e-05
18	-1.0666762443621e-05	3.81389556834717e-06	-1.31905522938228e-05	-1.52560335102534e-05	4.20692283251695e-05	4.32781262678475e-05	4.66994814584993e-05	2.88609872419685e-05
19	-1.27146571208535e-05	-3.24565158011758e-06	-4.53274203671947e-05	-2.76383021895285e-05	4.07898764215029e-05	4.08615782761029e-05	4.81915670066807e-05	2.87601341278628e-05
20	-1.49527525059332e-05	-6.39958938502297e-06	-6.65143481943297e-05	-3.13115104338177e-05	3.94157592472126e-05	3.89988924899425e-05	5.04934685502345e-05	2.85936506817679e-05
21	-1.5419828150109e-05	-1.33333990387116e-05	-5.97031532045539e-05	-3.17196365066673e-05	3.80889491923847e-05	3.78358720873769e-05	5.26471950351236e-05	2.83693393352951e-05
22	-1.43141649528542e-05	-2.22200155417112e-05	-4.72891209075034e-05	-3.38845888793378e-05	3.67198567710174e-05	3.72454309012591e-05	5.38924433870909e-05	2.79881695848422e-05
23	-1.19624144366147e-05	-3.2741806282242e-05	-3.00788935126993e-05	-3.81802610731288e-05	3.53491229213268e-05	3.71498265300132e-05	5.36618985326657e-05	2.73771012876762e-05
24	-9.911396773597e-06	-3.85066979610687e-05	-5.2447564764072e-06	-3.88503144420406e-05	3.39383647545519e-05	3.73584780472174e-05	5.17036081116003e-05	2.67206360858051e-05
25	-8.637329779586e-06	-4.33081424534002e-05	2.42309156863473e-05	-3.38528148695559e-05	3.2633038906136e-05	3.7717770769902e-05	5.02321014025159e-05	2.62019371230701e-05
26	-9.51908753971687e-06	-4.52327948346329e-05	4.10615566282946e-05	-2.76336115681789e-05	3.1478562179311e-05	3.82786705873748e-05	4.95946904662161e-05	2.59402391920486e-05
27	-1.03196277892027e-05	-4.57325384178106e-05	5.11092924214096e-05	-1.83276293514895e-05	3.04484376721471e-05	3.9035256239422e-05	4.90400085318581e-05	2.57338783885543e-05
28	-9.02129136269137e-06	-4.19332270009807e-05	5.34111862926702e-05	-8.21018599291505e-06	2.95784105130693e-05	4.03939703741365e-05	4.78898091099926e-05	2.54956478114132e-05
29	-6.63300044401154e-06	-3.52084908207676e-05	5.38022376852541e-05	-4.58780576038759e-06	2.8911518223319e-05	4.24785734838734e-05	4.59291607119693e-05	2.53884713491579e-05
30	-2.84476884799507e-06	-3.585374841159e-05	5.31172261591584e-05	-5.55023699914255e-06	2.85117343280254e-05	4.50653080137146e-05	4.35332916494551e-05	2.53683102162547e-05
31	8.50474345777495e-07	-4.10118880170895e-05	4.97411203736474e-05	-6.46825549785183e-06	2.83912760784406e-05	4.78689285463477e-05	4.13566368815816e-05	2.53476875096138e-05
32	2.88979971014536e-06	-3.67026683839896e-05	4.42192890292901e-05	-3.02392406990101e-06	2.84776383717207e-05	5.05152012800163e-05	3.96915466041721e-05	2.53852043717063e-05
33	2.43001956804948e-06	-3.14302399552483e-05	3.54938025372894e-05	-3.87913510158208e-07	2.85916220548637e-05	5.27169768946914e-05	3.85796517501485e-05	2.54862637290298e-05
34	5.71670333845092e-07	-2.07713610768847e-05	2.46176054432895e-05	-3.56439854414801e-06	2.87027416281629e-05	5.43225548582451e-05	3.79072600562812e-05	2.55739631746899e-05
35	-1.65287328730385e-06	-1.08081328970532e-05	1.92109264808225e-05	-1.40517509473441e-05	2.8878111039224e-05	5.52771050825817e-05	3.74255286354429e-05	2.56843085302123e-05
36	-3.51860005458001e-06	-9.09274170356628e-07	9.70598893111228e-06	-2.59785073642306e-05	2.90659337011593e-05	5.56413241686946e-05	3.69287404792677e-05	2.59061090169475e-05
37	-3.685921314941e-06	5.95906324397701e-06	-3.14286526828962e-06	-3.71512927079078e-05	2.91960608113638e-05	5.55158602251832e-05	3.63966853410633e-05	2.61996635662639e-05
38	-3.5141262835196e-06	9.36512890157602e-06	-1.02157571320983e-05	-4.69459286535149e-05	2.92301767497095e-05	5.49022627885726e-05	3.58865459895037e-05	2.64040965902681e-05
39	-4.53579367585181e-06	1.81103061507836e-05	-1.42791568634868e-05	-5.42909430245355e-05	2.91508561348248e-05	5.39893915905987e-05	3.53960828013685e-05	2.65492364576147e-05
40	-6.15854211397063e-06	3.3507171650463e-05	-1.93765040111814e-05	-5.87839175594649e-05	2.89234879220393e-05	5.26897643927276e-05	3.49465063701491e-05	2.65982452137341e-05
41	-8.0530752907038e-06	4.99452892299063e-05	-2.58533709748998e-05	-5.68890673277312e-05	2.84716909226365e-05	5.1286678652685e-05	3.45101114762838e-05	2.67705198412934e-05
42	-1.04549687192915e-05	3.61154779866287e-05	-2.52648295730539e-05	-4.54013764024289e-05	2.78080232312185e-05	4.98950925342486e-05	3.41029645070458e-05	2.75707634249655e-05
43	-1.27524322879198e-05	1.84150768464598e-05	-2.37833861683012e-05	-3.42650067494673e-05	2.69853863176598e-05	4.84742972636405e-05	3.38688426862307e-05	2.93328878985635e-05
44	-1.38110747290861e-05	-4.80078925855023e-06	-2.31625412990094e-05	-2.63314688313412e-05	2.60526140547921e-05	4.71030840495044e-05	3.38588395064326e-05	3.15632763970833e-05
45	-1.38414363335301e-05	-1.85727459620017e-05	-2.69718202027543e-05	-1.43230873268807e-05	2.50764159190636e-05	4.58719908752729e-05	3.39836686585243e-05	3.38664130286524e-05
46	-1.36361965542052e-05	-2.7928477762875e-05	-2.80312959891168e-05	3.73026961946348e-06	2.42513257431731e-05	4.47920687023963e-05	3.40468741600411e-05	3.58062021788589e-05
