lagtime	RRD_p|all	se_p|all
0.333333333333333	0.00611229409632778	0.00194693367442169
1	0.00917896227412829	0.00174868455696721
2	0.0135358501755114	0.00251865511347354
3	0.0150942266116509	0.00315154887436409
4	0.0135627237996058	0.00369210959718423
5	0.0127606881908069	0.00409378927281613
6	0.0116935956269526	0.00436932111582869
7	0.0127488974406341	0.00454215400362849
8	0.0149800490251708	0.00468424642331708
9	0.0174432469624135	0.00489257123004277
10	0.0180061912177145	0.00512121199895184
11	0.0190296683423254	0.00537123061254969
12	0.0185279045937121	0.00552993745061122
13	0.0185338806413222	0.00565731054688311
14	0.0165517285071502	0.00574330710836542
15	0.0148460891762945	0.0057469896434585
16	0.0108841890607035	0.00567050448079096
17	0.00858092068932409	0.00556358789732586
18	0.00748042355200362	0.00548135544498305
19	0.00595823748857572	0.00542077966709875
20	0.00442446887320768	0.00536154089306015
21	0.0043546457360719	0.0053036465183774
22	0.00331322197657193	0.0052794346784996
23	0.00176671156747768	0.00523880199100053
24	-7.33214198717741e-05	0.00517221043541586
25	-0.00133600315624858	0.00505518556740988
26	-0.00212476298180989	0.00496218707514509
27	-0.0016630283178524	0.00490325504678618
28	-0.000904585874132009	0.00485313990593793
29	-0.00157220358713113	0.00484306683327845
30	-0.00290159136230433	0.00490882998166868
31	-0.00325997648648192	0.00503875675003308
32	-0.00210391120150589	0.00523177317071225
33	-0.0023678493663303	0.00541637048510896
34	-0.00337660037310855	0.00555463532715249
35	-0.00439797238127861	0.00569458433543947
36	-0.00466055381121313	0.00586847571853072
37	-0.00769986286210664	0.00607130120161933
38	-0.0120737729241077	0.00632451049940052
39	-0.016056042144421	0.00666532361042505
40	-0.0187332515270482	0.00705498856645848
41	-0.0193296239024424	0.00740721729280234
42	-0.0190126577558667	0.00784959892619287
43	-0.0187111575726276	0.00826519455897171
44	-0.0173375941413677	0.0086271806307428
45	-0.0169173294738776	0.00889819396640984
46	-0.0151038963113224	0.00896847616383238
47	-0.0167337780949823	0.00881133260614305
48	-0.0172027194067173	0.00872594391607209
49	-0.0193284579418007	0.00875453637596794
50	-0.0178535594958759	0.00889148780756638
51	-0.0157208530716649	0.00903016643175124
52	-0.0121818766194033	0.00912722002869167
53	-0.00860385018439882	0.00920592895829327
54	-0.00585893834915661	0.00927875583614339
55	-0.00607653089493675	0.00921609501042925
56	-0.00460171221491849	0.00914679154199244
57	-0.00481195869486145	0.00907270883925859
58	-0.00648155586956574	0.00904969580628428
59	-0.00890348240806409	0.0089531212939321
60	-0.00932318910991355	0.00874903204295343
61	-0.00978332398454897	0.00850386281764588
62	-0.00874744261474639	0.00828619849549096
63	-0.00571661361555299	0.00797080192156565
64	-0.00406293432671365	0.00782327871206674
65	-0.00251856255363266	0.0077342201334663
66	0.000165819927038211	0.00773520647754814
67	-0.00026735102107386	0.00779249345644236
68	-0.000464359010175896	0.00785778941557258
69	0.000327138423765748	0.00799307181165344
70	0.00116849410467841	0.00822056536589847
71	0.00141238039951519	0.00831443060190216
72	0.000576548568329074	0.00816543492337457
73	0.000451380515773538	0.00794271944554782
74	-0.000339324006412574	0.00762403948669437
75	0.00169715163855872	0.00743508706286266
76	0.00289202409227846	0.00733602624637817
77	0.00595779735125872	0.00723058690085845
78	0.00817387069436264	0.00718087646306936
79	0.00892887234568083	0.0071489513455708
80	0.00981412220473626	0.00722556320501897
81	0.00892124459533102	0.00741071401200033
82	0.00783613733877966	0.00764704429178625
83	0.00903966199349391	0.00790136974974826
84	0.0101957009600373	0.00810672121192997
85	0.0111049433878674	0.00827933551125834
86	0.0116975640826452	0.0082990693269663
87	0.0130110915595082	0.00819008070072752
88	0.0122717934628782	0.0079078882816568
89	0.0120239756256509	0.0076434925780804
90	0.0114416020307015	0.00748888501679405
91	0.00953193871607053	0.00751563373509363
92	0.00930585925475865	0.00768730192092489
93	0.00842729381460899	0.00791732076321993
94	0.00717474533999995	0.00812248766469901
95	0.00561428946499188	0.00824047496773322
96	0.00573178505149118	0.00827638202218342
97	0.00516957168136787	0.00821119657435457
98	0.00392370516318862	0.00809172414431759
99	0.00342495557989253	0.00791493064805508
100	0.000552853065598281	0.00776566435522547
101	-0.00175198826256976	0.00766090486675347
102	-0.00197865387061396	0.00758288841234291
103	-0.00168201971667727	0.0075068615000557
104	-0.00162038754456095	0.00741116293111696
105	-0.00228144581184313	0.00732666392861648
106	-0.00420357873089837	0.00723531917736234
107	-0.0049794907234859	0.00720938208709189
108	-0.00524977373674324	0.00723300517148771
109	-0.00472703272489945	0.00727956250548016
110	-0.00522904803236234	0.00733727959667954
111	-0.00395065289804687	0.00735300489763538
112	-0.00335115148080146	0.00735588165994477
113	-0.00327244128861126	0.00734608879166869
114	-0.00357504287381114	0.00731004500059465
115	-0.00444449799621975	0.00728104852143831
116	-0.00421792049480598	0.00726969603471546
117	-0.00433695605543422	0.00726415524116912
118	-0.00257688483819011	0.00726441668535527
119	-0.00209303435221503	0.00722869974714433
120	-0.00231967564595389	0.00722350487262222
