timestep	time	weight	P	Q	Qfitted	Qresidual
124	124	0	0	0.00174186015351339		
125	125	0	8.4	0.00185670807572306		
126	126	0	0	0.00197155599793274		
127	127	0	0.8	0.00220125184235209		
128	128	0	2.1	0.00254579560898111		
129	129	0	0	0.00290310025585565		
130	130	0	0.3	0.00308175257929292		
131	131	0	12.1	0.00328592666322123		
132	132	0	8.5	0.00403243815758411		
133	133	0	0	0.00470238437047388		
134	134	0	2.8	0.00443440588531797		
135	135	0	0.3	0.00388568803476064		
136	136	0	7.5	0.00375169879218268		
137	137	0	22.1	0.00420471004089862		
138	138	0		0.00468962349022836		
139	139	0		0.00472790613096491		
140	140	0		0.00403881859770687		
141	141	0	0.3	0.00345181810641298		
142	142	0	1.5	0.00314555698052052		
143	143	0	0	0.00294138289659221		
144	144	0	0.8	0.00292862201634669		
145	145	0	5.1	0.00287757849536461		
146	146	0	15.8	0.00265426309106802		
147	147	0	3.3	0.00288395893548737		
148	148	0	3.8	0.00328592666322123		
149	149	0	0	0.00366237263046405		
150	150	0	0.3	0.00334335062432607		
151	151	0	0	0.00317107874101156		
152	152	0	0	0.00301794817806532		
153	153	0	0	0.0031008938996612		
154	154	0	0	0.00271806749229562		
155	155	0	0	0.0024054259262804		
156	156	0	0	0.00216296920161553		
157	157	0	2.3	0.00190137115658238		
158	158	0		0.00170357751277683		
159	159	0	0	0.00157596871032164		
160	160	0	0	0.00142921858749817		
161	161	0	1	0.00131437066528849		
162	162	0	0.3	0.00119952274307882		
163	163	0	0	0.0010910552609919		
164	164	0	10.5	0.00104001174000983		
165	165	0	7.1	0.00111019658136018		
166	166	0	2.3	0.0011229574616057		
167	167	0	0	0.00105277262025535		
168	168	0	0	0.00096344645853671		
169	169	0	2.8	0.000899642057309113		
170	170	0	0	0.00100172909927327		
171	171	0	0.5	0.00105277262025535		
172	172	0		0.00102087041964155		
173	173	0	1.5	0.000906022497431873		
174	174	0	3.3	0.000778413694976679		
175	175	0	13.3	0.000695467973380804		
176	176	0	0.3	0.000644424452398727		
177	177	0		0.000627197264067276		
178	178	0	0	0.000625921176042724		
179	179	0	8.3	0.000605503767649892		
180	180	0	6.6	0.000627835308079551		
181	181	0	0	0.000720989733871843		
182	182	0	2.8	0.000803935455467718		
183	183	0	0.3	0.000816696335713237		
184	184	0	7.4	0.000759272374608401		
185	185	0	0	0.000733750614117362		
186	186	0	1.1	0.000708228853626323		
187	187	0	3.6	0.000695467973380804		
188	188	0	9.7	0.000733750614117362		
189	189	0	5.6	0.000867739856695315		
190	190	0	0	0.000937924698045671		
191	191	0	0	0.000944305138168431		
192	192	0	0	0.000976207338782229		
193	193	0	0.3	0.000886881177063594		
194	194	0	2.3	0.000886881177063594		
195	195	0	5	0.00095068557829119		
196	196	0	3.8	0.000995348659150508		
197	197	0		0.00096982689865947		
198	198	0	2	0.000925163817800152		
199	199	0	1.1	0.000861359416572555		
200	200	0	0.8	0.000803935455467718		
201	201	0	4	0.000740131054240122		
202	202	0		0.00076565281473116		
203	203	0	13.4	0.000925163817800152		
204	204	0	0.3	0.00111019658136018		
205	205	0	0	0.0011867618628333		
206	206	0	2.6	0.00107191394062362		
207	207	0	0.6	0.00095068557829119		
208	208	0	0	0.000816696335713237		
209	209	0	11.6	0.000740131054240122		
210	210	0	1.8	0.000720989733871843		
211	211	0	7.3	0.000746511494362881		
212	212	0	8.8	0.000784794135099439		
213	213	0	0	0.000823076775835997		
214	214	0	0	0.000784794135099439		
215	215	0	0	0.000701848413503563		
216	216	0	0	0.000622730955981344		
217	217	0	0	0.000551908070618711		
218	218	0	0	0.000497036285562978		
219	219	0	0	0.000450459072666833		
220	220	0	0	0.000404519903782963		
221	221	0	0	0.000366237263046405		
222	222	0	0	0.000332420930395779		
223	223	0	0	0.000301156773794256		
224	224	0	0	0.000271168705217286		
225	225	0	0.5	0.000250751296824455		
226	226	0	7.8	0.000244370856701695		
227	227	0	0.3	0.00023416215250528		
228	228	0	0	0.0002309719324439		
229	229	0	2.6	0.000222677360284312		
230	230	0	0	0.000208640392014241		
231	231	0	0	0.00020098386386693		
232	232	0	0	0.00019141320368279		
233	233	0	1.1	0.000179928411461823		
234	234	0	7.5	0.000170357751277683		
235	235	0	0	0.000165253399179475		
236	236	0		0.000158872959056716		
237	237	0	0	0.000151216430909404		
238	238	0	0	0.0001486642548603		
239	239	0	0	0.000138455550663885		
240	240	0	0	0.000130799022516573		
241	241	0	4.1	0.000130799022516573		
242	242	0	0	0.000125694670418365		
243	243	0	0	0.000123780538381538		
244	244	0	2.1	0.000121228362332434		
245	245	0	0	0.000116124010234226		
246	246	0	0	0.000104639218013259		
247	247	0	0	9.69826898659469e-05		
248	248	0		8.86881177063594e-05		
249	249	0	0	8.29457215958757e-05		
250	250	0	0	7.97555015344959e-05		
251	251	0	0	7.46511494362881e-05		
252	252	0	0	7.08228853626323e-05		
253	253	0	0	6.69946212889765e-05		
254	254	0		6.44424452398727e-05		
255	255	0	0	6.11246163760376e-05		
256	256	0	0	5.90190711355269e-05		
257	257	0	0	5.73601567036094e-05		
258	258	0	6.9	6.16350515858584e-05		
259	259	0	3.6	7.14609293749083e-05		
260	260	0	0	7.7203325485392e-05		
261	261	0	1	7.84794135099439e-05		
262	262	0	0	8.03935455467718e-05		
263	263	0	0	7.6565281473116e-05		
264	264	0	4.8	7.46511494362881e-05		
265	265	0	0.3	7.14609293749083e-05		
266	266	0	4.6	6.95467973380804e-05		
267	267	0	8.8	9.76207338782229e-05		
268	268	0	0	0.000124418582393814		
269	269	0	0	0.000157596871032164		
270	270	0	0	0.000160787091093544		
271	271	0	0	0.000139731638688437		
272	272	0	0	0.000126970758442917		
273	273	0	0	0.000114847922209674		
274	274	0		0.000106553350050086		
275	275	0	0	0.000102725085976431		
276	276	0	0	0.000100172909927327		
277	277	0		9.69826898659469e-05		
278	278	0	0	9.44305138168431e-05		
279	279	0	0	9.44305138168431e-05		
280	280	0	0	9.37924698045671e-05		
281	281	0	0	9.37924698045671e-05		
282	282	0	0	9.31544257922912e-05		
283	283	0	0	9.31544257922912e-05		
284	284	0	0	9.25163817800152e-05		
285	285	0	0	9.25163817800152e-05		
286	286	0	0	9.18783377677392e-05		
287	287	0	0	9.18783377677392e-05		
288	288	0	0	9.12402937554632e-05		
289	289	0	0	8.99642057309113e-05		
290	290	0	0.3	8.99642057309113e-05		
291	291	0		9.12402937554632e-05		
292	292	0	0.9	9.06022497431873e-05		
293	293	0	0	9.31544257922912e-05		
294	294	0	0	9.18783377677392e-05		
295	295	0	0	9.18783377677392e-05		
296	296	0	0	9.18783377677392e-05		
297	297	0	0	9.44305138168431e-05		
298	298	0	0	9.44305138168431e-05		
299	299	0	0	9.44305138168431e-05		
300	300	0	0	9.37924698045671e-05		
301	301	0	0	9.37924698045671e-05		
302	302	0	0	9.50685578291191e-05		
303	303	0	0.8	9.6344645853671e-05		
304	304	0	0	9.76207338782229e-05		
305	305	0	0	9.37924698045671e-05		
306	306	0	0	7.46511494362881e-05		
307	307	0	0	5.72963523023818e-05		
308	308	0	0	4.23023180138966e-05		
309	309	0	0	3.1008938996612e-05		
310	310	0	0	2.48837164787627e-05		
311	311	0	0	2.44370856701695e-05		
312	312	0	0	2.60321957008594e-05		
313	313	0	0	2.7691110132777e-05		
314	314	0	2.3	2.92224157622393e-05		
315	315	0	0	3.08175257929292e-05		
316	316	0	0	3.22850270211639e-05		
317	317	0	0	3.37525282493987e-05		
318	318	0	0	3.51562250764058e-05		
319	319	0	0	3.65599219034129e-05		
320	320	0	0	3.796361873042e-05		
321	321	0	0	3.9239706754972e-05		
322	322	0	0	4.05157947795239e-05		
323	323	0	0	4.17918828040758e-05		
324	324	0	0	4.30041664274002e-05		
325	325	0	0	4.42164500507245e-05		
326	326	0	0	4.53649292728212e-05		
327	327	0	0	4.64496040936904e-05		
328	328	0	0	4.75342789145595e-05		
