timestep	time	weight	P	Q	Qfitted	Qresidual
64	64	0		5.35956970311812e-05		
65	65	0	0	5.442515424714e-05		
66	66	0	0	5.52546114630987e-05		
67	67	0	0	5.62116774815127e-05		
68	68	0	0	5.71687434999266e-05		
69	69	0	0	5.82534183207958e-05		
70	70	0	0	5.94018975428925e-05		
71	71	0	0	6.06141811662169e-05		
72	72	0	0	6.18902691907688e-05		
73	73	0	0	6.32939660177759e-05		
74	74	0	0	6.44424452398727e-05		
75	75	0	0	6.63565772767006e-05		
76	76	0	0	6.76326653012525e-05		
77	77	0	0	6.82707093135285e-05		
78	78	0	0	6.95467973380804e-05		
79	79	0	0	7.01848413503564e-05		
80	80	0	0	7.08228853626323e-05		
81	81	0	0	7.20989733871842e-05		
82	82	0	0	7.33750614117362e-05		
83	83	0	0	7.46511494362881e-05		
84	84	0	0	7.59272374608401e-05		
85	85	0	0	7.7203325485392e-05		
86	86	0	0	7.84794135099439e-05		
87	87	0	0	8.03935455467718e-05		
88	88	0	0	8.16696335713238e-05		
89	89	0	0.8	8.35837656081517e-05		
90	90	0	5.3	8.54978976449796e-05		
91	91	0	0	8.74120296818075e-05		
92	92	0	0	8.99642057309113e-05		
93	93	0	0	0.000116762054246502		
94	94	0	0	0.000144835990786644		
95	95	0	0	0.000172909927326787		
96	96	0	0	0.000201621907879206		
97	97	0	0	0.000241818680652591		
98	98	0	0	0.000250751296824455		
99	99	0	0.3	0.000259683912996319		
100	100	0	0	0.000268616529168182		
101	101	0	0	0.000278187189352322		
102	102	0	0	0.000287757849536461		
103	103	0	0	0.000297966553732877		
104	104	0	0	0.000307537213917016		
105	105	0	0	0.000317745918113432		
106	106	0	0	0.000327954622309847		
107	107	0	0	0.000337525282493986		
108	108	0	0	0.000347733986690402		
109	109	0	0	0.000357304646874541		
110	110	0	0	0.000367513351070957		
111	111	0	0	0.000377722055267372		
112	112	0	0	0.00038920684748834		
113	113	0	0	0.000448544940630005		
114	114	0	0	0.000530214574201329		
115	115	0	0.6	0.000727370173994602		
116	116	0	0	0.000899642057309113		
117	117	0	0	0.00108467482086914		
118	118	0	0	0.00121228362332434		
119	119	0	0.5	0.00130160978504297		
120	120	0	0	0.00136541418627057		
121	121	0	0	0.00137179462639333		
122	122	0	3.1	0.00148026210848024		
123	123	0	2.5	0.00162701223130372		
124	124	0	0	0.00174186015351339		
125	125	0	8.4	0.00185670807572306	0.000646604980458472	0.00121010309526459
126	126	0	0	0.00197155599793274	0.000838630465318137	0.0011329255326146
127	127	0	0.8	0.00220125184235209	0.000935910751650287	0.0012653410907018
128	128	1	2.1	0.00254579560898111	0.000964051291824074	0.00158174431715703
129	129	1	0	0.00290310025585565	0.00104945971058117	0.00185364054527448
130	130	1	0.3	0.00308175257929292	0.0012024967387287	0.00187925584056422
131	131	1	12.1	0.00328592666322123	0.00142773691455423	0.001858189748667
132	132	1	8.5	0.00403243815758411	0.00203203883331855	0.00200039932426556
133	133	1	0	0.00470238437047388	0.00253359423494524	0.00216879013552863
134	134	1	2.8	0.00443440588531797	0.00263347372955538	0.00180093215576259
135	135	1	0.3	0.00388568803476064	0.00254212060633841	0.00134356742842222
136	136	1	7.5	0.00375169879218268	0.00260849648491836	0.00114320230726432
137	137	1	22.1	0.00420471004089862	0.00310956258958126	0.00109514745131736
138	138	0		0.00468962349022836		
139	139	0		0.00472790613096491		
140	140	0		0.00403881859770687		
141	141	0	0.3	0.00345181810641298		
142	142	0	1.5	0.00314555698052052		
143	143	0	0	0.00294138289659221		
144	144	0	0.8	0.00292862201634669		
145	145	0	5.1	0.00287757849536461		
146	146	0	15.8	0.00265426309106802		
147	147	0	3.3	0.00288395893548737		
148	148	0	3.8	0.00328592666322123		
149	149	0	0	0.00366237263046405		
150	150	0	0.3	0.00334335062432607		
151	151	0	0	0.00317107874101156		
152	152	0	0	0.00301794817806532		
153	153	0	0	0.0031008938996612		
154	154	0	0	0.00271806749229562		
155	155	0	0	0.0024054259262804		
156	156	0	0	0.00216296920161553		
157	157	0	2.3	0.00190137115658238		
158	158	0		0.00170357751277683		
159	159	0	0	0.00157596871032164		
160	160	0	0	0.00142921858749817		
161	161	0	1	0.00131437066528849		
162	162	0	0.3	0.00119952274307882		
163	163	0	0	0.0010910552609919		
164	164	0	10.5	0.00104001174000983		
165	165	0	7.1	0.00111019658136018		
166	166	0	2.3	0.0011229574616057		
167	167	0	0	0.00105277262025535		
168	168	0	0	0.00096344645853671		
169	169	0	2.8	0.000899642057309113		
170	170	0	0	0.00100172909927327		
171	171	0	0.5	0.00105277262025535		
172	172	0		0.00102087041964155		
173	173	0	1.5	0.000906022497431873		
174	174	0	3.3	0.000778413694976679		
175	175	0	13.3	0.000695467973380804		
176	176	0	0.3	0.000644424452398727		
177	177	0		0.000627197264067276		
178	178	0	0	0.000625921176042724		
179	179	0	8.3	0.000605503767649892		
180	180	0	6.6	0.000627835308079551		
181	181	0	0	0.000720989733871843		
182	182	0	2.8	0.000803935455467718		
183	183	0	0.3	0.000816696335713237		
184	184	0	7.4	0.000759272374608401		
185	185	0	0	0.000733750614117362		
186	186	0	1.1	0.000708228853626323		
187	187	0	3.6	0.000695467973380804		
188	188	0	9.7	0.000733750614117362		
189	189	0	5.6	0.000867739856695315		
190	190	0	0	0.000937924698045671		
191	191	0	0	0.000944305138168431		
192	192	0	0	0.000976207338782229		
193	193	0	0.3	0.000886881177063594		
194	194	0	2.3	0.000886881177063594		
195	195	0	5	0.00095068557829119		
196	196	0	3.8	0.000995348659150508		
197	197	0		0.00096982689865947		
198	198	0	2	0.000925163817800152		
199	199	0	1.1	0.000861359416572555		
200	200	0	0.8	0.000803935455467718		
201	201	0	4	0.000740131054240122		
202	202	0		0.00076565281473116		
203	203	0	13.4	0.000925163817800152		
204	204	0	0.3	0.00111019658136018		
205	205	0	0	0.0011867618628333		
206	206	0	2.6	0.00107191394062362		
207	207	0	0.6	0.00095068557829119		
208	208	0	0	0.000816696335713237		
209	209	0	11.6	0.000740131054240122		
210	210	0	1.8	0.000720989733871843		
211	211	0	7.3	0.000746511494362881		
212	212	0	8.8	0.000784794135099439		
213	213	0	0	0.000823076775835997		
214	214	0	0	0.000784794135099439		
215	215	0	0	0.000701848413503563		
216	216	0	0	0.000622730955981344		
217	217	0	0	0.000551908070618711		
218	218	0	0	0.000497036285562978		
219	219	0	0	0.000450459072666833		
220	220	0	0	0.000404519903782963		
221	221	0	0	0.000366237263046405		
222	222	0	0	0.000332420930395779		
223	223	0	0	0.000301156773794256		
224	224	0	0	0.000271168705217286		
225	225	0	0.5	0.000250751296824455		
226	226	0	7.8	0.000244370856701695		
227	227	0	0.3	0.00023416215250528		
228	228	0	0	0.0002309719324439		
229	229	0	2.6	0.000222677360284312		
230	230	0	0	0.000208640392014241		
231	231	0	0	0.00020098386386693		
232	232	0	0	0.00019141320368279		
233	233	0	1.1	0.000179928411461823		
234	234	0	7.5	0.000170357751277683		
235	235	0	0	0.000165253399179475		
236	236	0		0.000158872959056716		
237	237	0	0	0.000151216430909404		
238	238	0	0	0.0001486642548603		
239	239	0	0	0.000138455550663885		
240	240	0	0	0.000130799022516573		
241	241	0	4.1	0.000130799022516573		
242	242	0	0	0.000125694670418365		
243	243	0	0	0.000123780538381538		
244	244	0	2.1	0.000121228362332434		
245	245	0	0	0.000116124010234226		
246	246	0	0	0.000104639218013259		
247	247	0	0	9.69826898659469e-05		
248	248	0		8.86881177063594e-05		
249	249	0	0	8.29457215958757e-05		
250	250	0	0	7.97555015344959e-05		
251	251	0	0	7.46511494362881e-05		
252	252	0	0	7.08228853626323e-05		
253	253	0	0	6.69946212889765e-05		
254	254	0		6.44424452398727e-05		
255	255	0	0	6.11246163760376e-05		
256	256	0	0	5.90190711355269e-05		
257	257	0	0	5.73601567036094e-05		
258	258	0	6.9	6.16350515858584e-05		
259	259	0	3.6	7.14609293749083e-05		
260	260	0	0	7.7203325485392e-05		
