lagtime	RRD_p|all	se_p|all
0.333333333333333	1.1851236457617e-05	4.68740229192801e-06
1	2.00463470336007e-05	4.99102312177038e-06
2	3.00158317262173e-05	7.49925594547861e-06
3	2.94798132572023e-05	9.40164801296562e-06
4	2.29125113310393e-05	1.07895309977931e-05
5	2.18567561122997e-05	1.17821037398029e-05
6	2.0610025380341e-05	1.23962109850533e-05
7	2.64625596485896e-05	1.28324918110383e-05
8	3.61854871973944e-05	1.31854406602256e-05
9	4.80217878339221e-05	1.34995759737316e-05
10	5.02259930551572e-05	1.37954660212737e-05
11	4.90508419697483e-05	1.40464158191281e-05
12	3.94296131638312e-05	1.41596963799485e-05
13	3.3506317193437e-05	1.41966866362444e-05
14	2.54223194884671e-05	1.42778384493845e-05
15	2.36919502011731e-05	1.43089463514216e-05
16	1.71130139853153e-05	1.4305919001923e-05
17	1.3753095323706e-05	1.43626322539174e-05
18	1.52928212194257e-05	1.45222237994854e-05
19	1.83574474453005e-05	1.47109719854183e-05
20	1.79842829756503e-05	1.47311012146427e-05
21	1.82926745044907e-05	1.45910637228328e-05
22	1.22186691514814e-05	1.43791376522271e-05
23	5.50637992707575e-06	1.41359062823792e-05
24	-1.93161571504822e-06	1.39136092492146e-05
25	-7.69528560361368e-06	1.36355203281892e-05
26	-1.05351912137743e-05	1.32235951155337e-05
27	-9.84905934541852e-06	1.28612485715638e-05
28	-4.85408078522832e-06	1.27680755729567e-05
29	-3.05081846438181e-06	1.29052384415561e-05
30	-6.24305565007904e-06	1.3166839547082e-05
31	-8.65350847810397e-06	1.35494955935336e-05
32	-5.64021268744613e-06	1.41150923333645e-05
33	-8.63323407714242e-07	1.46447427120527e-05
34	-2.00705531241606e-06	1.50285979188159e-05
35	-6.53465975434318e-06	1.54244006516297e-05
36	-1.01197549519229e-05	1.59700411328337e-05
37	-1.71196562255407e-05	1.66644892862953e-05
38	-2.70723553893245e-05	1.753661615974e-05
39	-3.57086081693732e-05	1.84948863698233e-05
40	-4.008217502628e-05	1.93837439661949e-05
41	-4.11750373907377e-05	1.99866359052174e-05
42	-3.91722282820267e-05	2.07559371368236e-05
43	-3.4570351873589e-05	2.17080873709859e-05
44	-2.87450978873546e-05	2.27889306672161e-05
45	-2.73258632068184e-05	2.35631784105943e-05
46	-2.69667609880269e-05	2.39303967996944e-05
47	-3.31150678395309e-05	2.38575755435765e-05
48	-3.38088144380092e-05	2.34972786617455e-05
49	-3.98470089380852e-05	2.33955960963516e-05
50	-3.70607503172792e-05	2.36755105848065e-05
51	-3.54807966925633e-05	2.41735838671366e-05
52	-2.41942124311222e-05	2.4415700356105e-05
53	-1.43348303244659e-05	2.46135912913425e-05
54	-8.48351235051469e-06	2.4854419704286e-05
55	-1.29121153143296e-05	2.49609760885334e-05
56	-1.93399618535136e-05	2.48020452030505e-05
57	-2.42713876866176e-05	2.42294971635098e-05
58	-2.45936010969605e-05	2.36418228349606e-05
59	-2.4700123507463e-05	2.31011987948105e-05
60	-2.4170793385898e-05	2.24204559641086e-05
61	-2.31353003310306e-05	2.15658917892366e-05
62	-1.71026634374157e-05	2.0746395703233e-05
63	-1.28804910332886e-05	2.00517261285044e-05
64	-1.14121422874805e-05	1.94927030044767e-05
65	-9.68232861971026e-06	1.93273919647677e-05
66	-7.90019450314386e-06	1.93341642508241e-05
67	-7.13999866932049e-06	1.94712568519022e-05
68	-4.64629808492896e-06	1.95517812789552e-05
69	-8.32127707312363e-07	1.99026822587847e-05
70	5.0679451369683e-06	2.05586458639237e-05
71	6.15900598804346e-06	2.1277488045674e-05
72	5.8485001168673e-06	2.15051579272741e-05
73	2.32635182952271e-06	2.09866069015596e-05
74	-6.66245707325847e-07	2.00015835923162e-05
75	1.93521662297001e-07	1.90045323404285e-05
76	3.6014549217459e-06	1.84376863377278e-05
77	7.80078439354189e-06	1.83029497221082e-05
