"","Longitude..x.","Latitude..y.","Station.Name","Climate.ID","Date.Time","Year","Month","Day","Data.Quality","Max.Temp...C.","Max.Temp.Flag","Min.Temp...C.","Min.Temp.Flag","Mean.Temp...C.","Mean.Temp.Flag","Heat.Deg.Days...C.","Heat.Deg.Days.Flag","Cool.Deg.Days...C.","Cool.Deg.Days.Flag","Total.Rain..mm.","Total.Rain.Flag","Total.Snow..cm.","Total.Snow.Flag","Total.Precip..mm.","Total.Precip.Flag","Snow.on.Grnd..cm.","Snow.on.Grnd.Flag","Dir.of.Max.Gust..10s.deg.","Dir.of.Max.Gust.Flag","Spd.of.Max.Gust..km.h.","Spd.of.Max.Gust.Flag","q","level"
"1",-122.51,53.03,"QUESNEL",1096629,2011-01-01,2011,1,1,NA,-5.5,"",-7.7,"",-6.6,"",24.6,"",0,"",NA,"M",NA,"M",0,"",NA,NA,16,"","33","","0.779","1.672"
"2",-122.51,53.03,"QUESNEL",1096629,2011-01-02,2011,1,2,NA,-4.8,"",-8.9,"",-6.9,"",24.9,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.778","1.659"
"3",-122.51,53.03,"QUESNEL",1096629,2011-01-03,2011,1,3,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.773","1.648"
"4",-122.51,53.03,"QUESNEL",1096629,2011-01-04,2011,1,4,NA,-0.6,"",-3,"",-1.8,"",19.8,"",0,"",NA,"M",NA,"M",13.6,"",NA,NA,15,"","37","","0.768","1.647"
"5",-122.51,53.03,"QUESNEL",1096629,2011-01-05,2011,1,5,NA,1.5,"",-1.1,"",0.2,"",17.8,"",0,"",NA,"M",NA,"M",8.9,"",NA,NA,15,"","44","","0.764","1.652"
"6",-122.51,53.03,"QUESNEL",1096629,2011-01-06,2011,1,6,NA,1.1,"",-5.7,"",-2.3,"",20.3,"",0,"",NA,"M",NA,"M",0.8,"",NA,NA,15,"","32","","0.759","1.647"
"7",-122.51,53.03,"QUESNEL",1096629,2011-01-07,2011,1,7,NA,-1.8,"",-7.5,"",-4.7,"",22.7,"",0,"",NA,"M",NA,"M",7.8,"",NA,NA,NA,"","<31","","0.756","1.648"
"8",-122.51,53.03,"QUESNEL",1096629,2011-01-08,2011,1,8,NA,-4.4,"",-10.1,"",-7.3,"",25.3,"",0,"",NA,"M",NA,"M",0,"",NA,NA,31,"","41","","0.752","1.651"
"9",-122.51,53.03,"QUESNEL",1096629,2011-01-09,2011,1,9,NA,-9.3,"",-21.9,"",-15.6,"",33.6,"",0,"",NA,"M",NA,"M",0,"",NA,NA,33,"","32","","0.749","1.677"
"10",-122.51,53.03,"QUESNEL",1096629,2011-01-10,2011,1,10,NA,-13.3,"",-20.9,"",-17.1,"",35.1,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.746","1.720"
"11",-122.51,53.03,"QUESNEL",1096629,2011-01-11,2011,1,11,NA,-12.5,"",-18.6,"",-15.6,"",33.6,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.744","1.756"
"12",-122.51,53.03,"QUESNEL",1096629,2011-01-12,2011,1,12,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.739","1.805"
"13",-122.51,53.03,"QUESNEL",1096629,2011-01-13,2011,1,13,NA,-15.9,"",-19.7,"",-17.8,"",35.8,"",0,"",NA,"M",NA,"M",NA,"M",NA,NA,33,"","37","","0.735","1.945"
"14",-122.51,53.03,"QUESNEL",1096629,2011-01-14,2011,1,14,NA,-18.4,"",-20.7,"",-19.6,"",37.6,"",0,"",NA,"M",NA,"M",NA,"M",NA,NA,NA,"","<31","","0.730","1.953"
"15",-122.51,53.03,"QUESNEL",1096629,2011-01-15,2011,1,15,NA,-15.9,"",-19.7,"",-17.8,"",35.8,"",0,"",NA,"M",NA,"M",NA,"M",NA,NA,NA,"","<31","","0.727","2.006"
"16",-122.51,53.03,"QUESNEL",1096629,2011-01-16,2011,1,16,NA,-11.7,"",-15.9,"",-13.8,"",31.8,"",0,"",NA,"M",NA,"M",NA,"M",NA,NA,NA,"","<31","","0.723","2.022"
"17",-122.51,53.03,"QUESNEL",1096629,2011-01-17,2011,1,17,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.720","1.973"
"18",-122.51,53.03,"QUESNEL",1096629,2011-01-18,2011,1,18,NA,-14.1,"",-21,"",-17.6,"",35.6,"",0,"",NA,"M",NA,"M",NA,"M",NA,NA,NA,"","<31","","0.725","1.958"
"19",-122.51,53.03,"QUESNEL",1096629,2011-01-19,2011,1,19,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.731","1.951"
"20",-122.51,53.03,"QUESNEL",1096629,2011-01-20,2011,1,20,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.737","1.956"
"21",-122.51,53.03,"QUESNEL",1096629,2011-01-21,2011,1,21,NA,2.6,"",-8.9,"",-3.2,"",21.2,"",0,"",NA,"M",NA,"M",4.8,"",NA,NA,14,"","33","","0.743","1.958"
"22",-122.51,53.03,"QUESNEL",1096629,2011-01-22,2011,1,22,NA,3.1,"",-7.8,"",-2.4,"",20.4,"",0,"",NA,"M",NA,"M",0,"",NA,NA,14,"","56","","0.750","1.938"
"23",-122.51,53.03,"QUESNEL",1096629,2011-01-23,2011,1,23,NA,1.1,"",-11.5,"",-5.2,"",23.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.757","1.984"
"24",-122.51,53.03,"QUESNEL",1096629,2011-01-24,2011,1,24,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.764","1.971"
"25",-122.51,53.03,"QUESNEL",1096629,2011-01-25,2011,1,25,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.773","1.962"
"26",-122.51,53.03,"QUESNEL",1096629,2011-01-26,2011,1,26,NA,6.3,"",1.3,"",3.8,"",14.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,15,"","39","","0.781","1.936"
"27",-122.51,53.03,"QUESNEL",1096629,2011-01-27,2011,1,27,NA,7.9,"",-5.2,"",1.4,"",16.6,"",0,"",NA,"M",NA,"M",0,"",NA,NA,32,"","52","","0.790","1.966"
"28",-122.51,53.03,"QUESNEL",1096629,2011-01-28,2011,1,28,NA,-2.4,"",-8.9,"",-5.7,"",23.7,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.800","1.961"
"29",-122.51,53.03,"QUESNEL",1096629,2011-01-29,2011,1,29,NA,-5.6,"",-13.9,"",-9.8,"",27.8,"",0,"",NA,"M",NA,"M",0,"",NA,NA,32,"","33","","0.810","1.935"
"30",-122.51,53.03,"QUESNEL",1096629,2011-01-30,2011,1,30,NA,-11.2,"",-23.7,"",-17.5,"",35.5,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.821","1.884"
"31",-122.51,53.03,"QUESNEL",1096629,2011-01-31,2011,1,31,NA,-15.7,"",-24,"",-19.9,"",37.9,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.832","1.881"
"32",-122.51,53.03,"QUESNEL",1096629,2011-02-01,2011,2,1,NA,-5.5,"",-22.8,"",-14.2,"",32.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,16,"","32","","0.844","1.951"
"33",-122.51,53.03,"QUESNEL",1096629,2011-02-02,2011,2,2,NA,0.3,"",-8.5,"",-4.1,"",22.1,"",0,"",NA,"M",NA,"M",0,"",NA,NA,14,"","43","","0.856","1.905"
"34",-122.51,53.03,"QUESNEL",1096629,2011-02-03,2011,2,3,NA,4.4,"",-1.2,"",1.6,"",16.4,"",0,"",NA,"M",NA,"M",2,"",NA,NA,14,"","41","","0.869","1.829"
"35",-122.51,53.03,"QUESNEL",1096629,2011-02-04,2011,2,4,NA,7.6,"",-2.6,"",2.5,"",15.5,"",0,"",NA,"M",NA,"M",0.3,"",NA,NA,31,"","57","","0.857","1.796"
"36",-122.51,53.03,"QUESNEL",1096629,2011-02-05,2011,2,5,NA,1.4,"",-11.4,"",-5,"",23,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.847","1.768"
"37",-122.51,53.03,"QUESNEL",1096629,2011-02-06,2011,2,6,NA,-1.1,"",-7.3,"",-4.2,"",22.2,"",0,"",NA,"M",NA,"M",6.6,"",NA,NA,15,"","32","","0.837","1.738"
"38",-122.51,53.03,"QUESNEL",1096629,2011-02-07,2011,2,7,NA,-1,"",-8.9,"",-5,"",23,"",0,"",NA,"M",NA,"M",0.8,"",NA,NA,32,"","43","","0.827","1.736"
"39",-122.51,53.03,"QUESNEL",1096629,2011-02-08,2011,2,8,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.819","1.718"
"40",-122.51,53.03,"QUESNEL",1096629,2011-02-09,2011,2,9,NA,-3.8,"",-15.6,"",-9.7,"",27.7,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.810","1.708"
"41",-122.51,53.03,"QUESNEL",1096629,2011-02-10,2011,2,10,NA,0.8,"",-5.6,"",-2.4,"",20.4,"",0,"",NA,"M",NA,"M",1.3,"",NA,NA,NA,"","<31","","0.803","1.720"
"42",-122.51,53.03,"QUESNEL",1096629,2011-02-11,2011,2,11,NA,3.4,"",-2.6,"",0.4,"",17.6,"",0,"",NA,"M",NA,"M",0,"",NA,NA,15,"","32","","0.796","1.728"
"43",-122.51,53.03,"QUESNEL",1096629,2011-02-12,2011,2,12,NA,3.6,"",0.6,"",2.1,"",15.9,"",0,"",NA,"M",NA,"M",1.3,"",NA,NA,16,"","32","","0.790","1.733"
"44",-122.51,53.03,"QUESNEL",1096629,2011-02-13,2011,2,13,NA,5.9,"",-6.8,"",-0.5,"",18.5,"",0,"",NA,"M",NA,"M",0,"",NA,NA,16,"","43","","0.784","1.724"
"45",-122.51,53.03,"QUESNEL",1096629,2011-02-14,2011,2,14,NA,8.1,"",-2.5,"",2.8,"",15.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,15,"","46","","0.779","1.713"
"46",-122.51,53.03,"QUESNEL",1096629,2011-02-15,2011,2,15,NA,6.4,"",-7.4,"",-0.5,"",18.5,"",0,"",NA,"M",NA,"M",0,"",NA,NA,15,"","56","","0.775","1.705"
"47",-122.51,53.03,"QUESNEL",1096629,2011-02-16,2011,2,16,NA,-7.4,"",-12.9,"",-10.2,"",28.2,"",0,"",NA,"M",NA,"M",0.3,"",NA,NA,NA,"","<31","","0.772","1.692"
"48",-122.51,53.03,"QUESNEL",1096629,2011-02-17,2011,2,17,NA,-10.4,"",-17.5,"",-14,"",32,"",0,"",NA,"M",NA,"M",3.1,"",NA,NA,33,"","43","","0.769","1.708"
"49",-122.51,53.03,"QUESNEL",1096629,2011-02-18,2011,2,18,NA,-13.5,"",-25.2,"",-19.4,"",37.4,"",0,"",NA,"M",NA,"M",0,"",NA,NA,34,"","46","","0.767","1.687"
"50",-122.51,53.03,"QUESNEL",1096629,2011-02-19,2011,2,19,NA,-12.7,"",-28.7,"",-20.7,"",38.7,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.766","1.678"
"51",-122.51,53.03,"QUESNEL",1096629,2011-02-20,2011,2,20,NA,-9.8,"",-24.5,"",-17.2,"",35.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.766","1.704"
"52",-122.51,53.03,"QUESNEL",1096629,2011-02-21,2011,2,21,NA,-4.4,"",-13.1,"",-8.8,"",26.8,"",0,"",NA,"M",NA,"M",1,"",NA,NA,15,"","33","","0.766","1.707"
"53",-122.51,53.03,"QUESNEL",1096629,2011-02-22,2011,2,22,NA,-5.2,"",-14.8,"",-10,"",28,"",0,"",NA,"M",NA,"M",0,"",NA,NA,35,"","44","","0.768","1.697"
"54",-122.51,53.03,"QUESNEL",1096629,2011-02-23,2011,2,23,NA,-10,"",-17.9,"",-14,"",32,"",0,"",NA,"M",NA,"M",0,"",NA,NA,35,"","54","","0.770","1.681"
"55",-122.51,53.03,"QUESNEL",1096629,2011-02-24,2011,2,24,NA,-12.9,"",-23.5,"",-18.2,"",36.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,34,"","39","","0.773","1.664"
"56",-122.51,53.03,"QUESNEL",1096629,2011-02-25,2011,2,25,NA,-10,"",-26.9,"",-18.5,"",36.5,"",0,"",NA,"M",NA,"M",0,"",NA,NA,13,"","32","","0.777","1.646"
"57",-122.51,53.03,"QUESNEL",1096629,2011-02-26,2011,2,26,NA,-5.1,"",-11.8,"",-8.5,"",26.5,"",0,"",NA,"M",NA,"M",1.8,"",NA,NA,13,"","39","","0.781","1.641"
"58",-122.51,53.03,"QUESNEL",1096629,2011-02-27,2011,2,27,NA,-3.8,"",-16,"",-9.9,"",27.9,"",0,"",NA,"M",NA,"M",0.3,"",NA,NA,32,"","46","","0.787","1.645"
"59",-122.51,53.03,"QUESNEL",1096629,2011-02-28,2011,2,28,NA,-15.7,"",-19.7,"",-17.7,"",35.7,"",0,"",NA,"M",NA,"M",0,"",NA,NA,32,"","44","","0.793","1.652"
"60",-122.51,53.03,"QUESNEL",1096629,2011-03-01,2011,3,1,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.801","1.657"
"61",-122.51,53.03,"QUESNEL",1096629,2011-03-02,2011,3,2,NA,-9.4,"",-17.5,"",-13.5,"",31.5,"",0,"",NA,"M",NA,"M",1.3,"",NA,NA,NA,"","<31","","0.809","1.666"
"62",-122.51,53.03,"QUESNEL",1096629,2011-03-03,2011,3,3,NA,-7.4,"",-23,"",-15.2,"",33.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.819","1.680"
"63",-122.51,53.03,"QUESNEL",1096629,2011-03-04,2011,3,4,NA,0.6,"",-18.9,"",-9.2,"",27.2,"",0,"",NA,"M",NA,"M",0,"",NA,NA,12,"","35","","0.829","1.685"
"64",-122.51,53.03,"QUESNEL",1096629,2011-03-05,2011,3,5,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","","0.840","1.700"
"65",-122.51,53.03,"QUESNEL",1096629,2011-03-06,2011,3,6,NA,-4.8,"",-15.2,"",-10,"",28,"",0,"",NA,"M",NA,"M",0,"",NA,NA,32,"","32","","0.853","1.699"
"66",-122.51,53.03,"QUESNEL",1096629,2011-03-07,2011,3,7,NA,-3.5,"",-22,"",-12.8,"",30.8,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.866","1.699"
"67",-122.51,53.03,"QUESNEL",1096629,2011-03-08,2011,3,8,NA,1.4,"",-18.2,"",-8.4,"",26.4,"",0,"",NA,"M",NA,"M",0,"",NA,NA,NA,"","<31","","0.881","1.696"
"68",-122.51,53.03,"QUESNEL",1096629,2011-03-09,2011,3,9,NA,7.9,"",-13.2,"",-2.7,"",20.7,"",0,"",NA,"M",NA,"M",0,"",NA,NA,16,"","41","","0.896","1.697"
"69",-122.51,53.03,"QUESNEL",1096629,2011-03-10,2011,3,10,NA,5,"",-3.8,"",0.6,"",17.4,"",0,"",NA,"M",NA,"M",3.6,"",NA,NA,34,"","39","","0.913","1.693"
"70",-122.51,53.03,"QUESNEL",1096629,2011-03-11,2011,3,11,NA,3.6,"",-8.9,"",-2.7,"",20.7,"",0,"",NA,"M",NA,"M",1.5,"",NA,NA,14,"","33","","0.931","1.707"
"71",-122.51,53.03,"QUESNEL",1096629,2011-03-12,2011,3,12,NA,9.9,"",0.4,"",5.2,"",12.8,"",0,"",NA,"M",NA,"M",0,"",NA,NA,19,"","54","","0.950","1.743"
